,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,4670,4875,4665,4865,920600,4865
1,2018-01-05,4880,4880,4780,4830,512500,4830
2,2018-01-09,4955,5450,4940,5320,1990600,5320
3,2018-01-10,5210,5250,5110,5190,999800,5190
4,2018-01-11,5040,5060,4935,4990,1024300,4990
5,2018-01-12,4970,5030,4905,4940,1240400,4940
6,2018-01-15,4950,5000,4930,4950,368400,4950
7,2018-01-16,4950,5140,4950,5130,563200,5130
8,2018-01-17,5000,5060,4960,4975,490000,4975
9,2018-01-18,5010,5050,4980,5000,631100,5000
10,2018-01-19,4955,5010,4905,5000,571200,5000
11,2018-01-22,4985,5020,4935,5000,323100,5000
12,2018-01-23,5020,5130,5010,5080,472400,5080
13,2018-01-24,5050,5090,5010,5070,376300,5070
14,2018-01-25,4975,5000,4890,4920,2073600,4920
15,2018-01-26,4760,4880,4660,4860,1097000,4860
16,2018-01-29,4955,5080,4945,4965,742800,4965
17,2018-01-30,4950,5070,4950,5040,1021000,5040
18,2018-01-31,5040,5280,5040,5170,1408400,5170
19,2018-02-01,4990,5080,4880,4990,2294700,4990
20,2018-02-02,4960,4985,4885,4965,802600,4965
21,2018-02-05,4835,4915,4825,4880,943200,4880
22,2018-02-06,4650,4665,4485,4580,1531600,4580
23,2018-02-07,4650,4655,4450,4480,1831900,4480
24,2018-02-08,4385,4475,4350,4445,945800,4445
25,2018-02-09,4135,4350,4130,4340,1224400,4340
26,2018-02-13,4385,4395,4250,4270,764300,4270
27,2018-02-14,4260,4310,4235,4255,426200,4255
28,2018-02-15,4285,4360,4280,4340,458600,4340
29,2018-02-16,4400,4440,4320,4435,660400,4435
30,2018-02-19,4440,4455,4380,4440,395700,4440
31,2018-02-20,4430,4460,4410,4440,289300,4440
32,2018-02-21,4450,4530,4425,4495,716300,4495
33,2018-02-22,4425,4450,4365,4365,637700,4365
34,2018-02-23,4365,4385,4320,4380,300800,4380
35,2018-02-26,4410,4445,4335,4340,445000,4340
36,2018-02-27,4375,4405,4285,4400,467600,4400
37,2018-02-28,4350,4415,4345,4345,460500,4345
38,2018-03-01,4305,4330,4270,4285,451300,4285
39,2018-03-02,4190,4205,4150,4200,735600,4200
40,2018-03-05,4200,4220,4125,4150,454600,4150
41,2018-03-06,4200,4215,4170,4190,439300,4190
42,2018-03-07,4180,4205,4130,4140,487300,4140
43,2018-03-08,4210,4250,4185,4215,510400,4215
44,2018-03-09,4290,4350,4205,4225,724800,4225
45,2018-03-12,4270,4295,4235,4250,311200,4250
46,2018-03-13,4250,4350,4250,4335,402400,4335
47,2018-03-14,4285,4330,4275,4315,271800,4315
48,2018-03-15,4310,4325,4255,4270,362500,4270
49,2018-03-16,4300,4345,4240,4260,446600,4260
50,2018-03-19,4230,4250,4175,4195,287800,4195
51,2018-03-20,4160,4170,4110,4135,423200,4135
52,2018-03-22,4150,4190,4115,4145,417400,4145
53,2018-03-23,4030,4050,3980,3980,636200,3980
54,2018-03-26,3940,4010,3925,4010,502300,4010
55,2018-03-27,4045,4090,4030,4090,513800,4090
56,2018-03-28,4010,4080,4010,4080,345300,4080
57,2018-03-29,4180,4235,4125,4160,776900,4160
58,2018-03-30,4170,4230,4135,4210,426200,4210
59,2018-04-02,4175,4275,4170,4230,361800,4230
60,2018-04-03,4170,4250,4160,4230,408400,4230
61,2018-04-04,4295,4310,4245,4260,607800,4260
62,2018-04-05,4280,4295,4155,4220,618800,4220
63,2018-04-06,4230,4310,4215,4265,548500,4265
64,2018-04-09,4240,4325,4200,4290,631500,4290
65,2018-04-10,4255,4290,4090,4125,1770300,4125
66,2018-04-11,4080,4100,3960,4080,1041600,4080
67,2018-04-12,4070,4230,4070,4185,746600,4185
68,2018-04-13,4200,4250,4175,4195,577500,4195
69,2018-04-16,4170,4190,4130,4175,418900,4175
70,2018-04-17,4115,4125,4025,4040,791700,4040
71,2018-04-18,4110,4180,4090,4095,769400,4095
72,2018-04-19,4115,4150,4080,4085,391100,4085
73,2018-04-20,3990,4035,3970,4030,899900,4030
74,2018-04-23,4120,4175,4010,4035,846600,4035
75,2018-04-24,4055,4075,4015,4035,515200,4035
76,2018-04-25,4100,4145,4030,4035,803300,4035
77,2018-04-26,3825,4045,3810,4015,1653300,4015
78,2018-04-27,3995,4020,3955,3995,538400,3995
79,2018-05-01,3970,4055,3960,4010,568300,4010
80,2018-05-02,3995,4030,3955,3970,477000,3970
81,2018-05-07,4025,4040,3950,3955,502900,3955
82,2018-05-08,4000,4045,3980,4025,564300,4025
83,2018-05-09,4045,4060,3990,4015,433100,4015
84,2018-05-10,4020,4030,3995,4005,303300,4005
85,2018-05-11,4045,4060,3995,4020,380500,4020
86,2018-05-14,4010,4015,3985,3990,468700,3990
87,2018-05-15,4020,4100,4020,4070,838800,4070
88,2018-05-16,4040,4055,3985,4000,761600,4000
89,2018-05-17,3970,3995,3955,3960,571000,3960
90,2018-05-18,3955,3970,3905,3960,576000,3960
91,2018-05-21,3960,4000,3950,3980,564100,3980
92,2018-05-22,3975,3975,3900,3920,666700,3920
93,2018-05-23,3900,3905,3850,3895,737000,3895
94,2018-05-24,3900,3940,3885,3930,648500,3930
95,2018-05-25,3935,3970,3905,3945,433800,3945
96,2018-05-28,3970,4005,3950,3985,498500,3985
97,2018-05-29,3945,3965,3925,3950,476300,3950
98,2018-05-30,3875,3900,3850,3895,775400,3895
99,2018-05-31,3955,3980,3920,3950,2859000,3950
100,2018-06-01,3980,3985,3890,3905,846000,3905
101,2018-06-04,3950,3960,3905,3920,454400,3920
102,2018-06-05,3960,4020,3960,4000,696300,4000
103,2018-06-06,4015,4015,3920,3965,440400,3965
104,2018-06-07,3995,4005,3950,3995,468700,3995
105,2018-06-08,3965,3985,3930,3980,468600,3980
106,2018-06-11,4000,4115,4000,4100,581200,4100
107,2018-06-12,4220,4450,4205,4430,1637800,4430
108,2018-06-13,4405,4415,4310,4340,1233400,4340
109,2018-06-14,4250,4340,4240,4290,802100,4290
110,2018-06-15,4350,4485,4310,4325,1349400,4325
111,2018-06-18,4345,4350,4250,4315,653100,4315
112,2018-06-19,4315,4410,4305,4310,811100,4310
113,2018-06-20,4300,4310,4185,4215,807600,4215
114,2018-06-21,4250,4310,4250,4295,410800,4295
115,2018-06-22,4430,4775,4395,4750,2528000,4750
116,2018-06-25,4630,4650,4525,4575,1347200,4575
117,2018-06-26,4465,4600,4430,4585,564300,4585
118,2018-06-27,4560,4690,4560,4610,648200,4610
119,2018-06-28,4630,4725,4600,4645,756900,4645
120,2018-06-29,4800,4870,4600,4615,1489100,4615
121,2018-07-02,4605,4680,4540,4615,717700,4615
122,2018-07-03,4590,4595,4405,4480,906700,4480
123,2018-07-04,4510,4655,4490,4615,656700,4615
124,2018-07-05,4630,4785,4625,4730,1015100,4730
125,2018-07-06,4800,4880,4780,4875,1006900,4875
126,2018-07-09,4870,5100,4855,5080,1127300,5080
127,2018-07-10,5100,5180,5040,5070,868500,5070
128,2018-07-11,5020,5050,4925,4965,828800,4965
129,2018-07-12,4980,5020,4945,4965,456800,4965
130,2018-07-13,5020,5130,5010,5090,593100,5090
131,2018-07-17,5100,5130,5000,5010,605600,5010
132,2018-07-18,5040,5090,4955,4985,691600,4985
133,2018-07-19,5150,5200,5060,5130,844000,5130
134,2018-07-20,5130,5180,5090,5130,455500,5130
135,2018-07-23,5140,5150,5020,5060,383200,5060
136,2018-07-24,4960,4990,4895,4925,828800,4925
137,2018-07-25,4920,4920,4805,4820,892100,4820
138,2018-07-26,4800,5220,4795,5150,1895600,5150
139,2018-07-27,5070,5200,4980,5180,907200,5180
140,2018-07-30,5080,5120,4945,4960,812800,4960
141,2018-07-31,4810,4890,4770,4880,772400,4880
142,2018-08-01,4905,4960,4895,4920,473900,4920
