,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2016-01-04,5850,5890,5740,5750,154800,1437.5
1,2016-01-05,5700,5740,5600,5680,153300,1420
2,2016-01-06,5640,5730,5530,5580,225000,1395
3,2016-01-07,5570,5700,5550,5640,249900,1410
4,2016-01-08,5600,5600,5430,5500,283600,1375
5,2016-01-12,5430,5560,5290,5300,329100,1325
6,2016-01-13,5370,5520,5350,5500,165500,1375
7,2016-01-14,5440,5440,5230,5340,249200,1335
8,2016-01-15,5500,5500,5330,5390,203200,1347.5
9,2016-01-18,5230,5380,5170,5360,192300,1340
10,2016-01-19,5320,5400,5240,5290,135100,1322.5
11,2016-01-20,5300,5360,5040,5070,234400,1267.5
12,2016-01-21,5020,5150,4850,4855,269800,1213.8
13,2016-01-22,5020,5160,4905,5130,190300,1282.5
14,2016-01-25,5200,5370,5160,5330,150300,1332.5
15,2016-01-26,5280,5430,5220,5300,166000,1325
16,2016-01-27,5380,5400,5330,5380,148400,1345
17,2016-01-28,5280,5560,5280,5490,223600,1372.5
18,2016-01-29,5420,5670,5410,5660,221800,1415
19,2016-02-01,5840,6430,5810,6270,971100,1567.5
20,2016-02-02,6100,6190,5730,5820,721800,1455
21,2016-02-03,5680,5760,5480,5640,533400,1410
22,2016-02-04,5750,5790,5520,5570,295500,1392.5
23,2016-02-05,5500,5560,5110,5310,626600,1327.5
24,2016-02-08,5140,5370,5120,5270,573900,1317.5
25,2016-02-09,5100,5160,4900,4940,582600,1235
26,2016-02-10,4905,4925,4675,4755,485000,1188.8
27,2016-02-12,4510,4595,4300,4450,603100,1112.5
28,2016-02-15,4780,4945,4635,4900,534900,1225
29,2016-02-16,4890,5080,4830,4835,503100,1208.8
30,2016-02-17,4835,4950,4750,4845,325000,1211.3
31,2016-02-18,5060,5060,4860,4910,405300,1227.5
32,2016-02-19,4905,4980,4845,4920,242600,1230
33,2016-02-22,4900,5150,4900,5110,227200,1277.5
34,2016-02-23,5200,5230,5010,5050,175200,1262.5
35,2016-02-24,4985,5130,4920,5040,233300,1260
36,2016-02-25,5110,5270,5100,5220,292000,1305
37,2016-02-26,5260,5330,5190,5230,206200,1307.5
38,2016-02-29,5300,5520,5250,5340,413400,1335
39,2016-03-01,5380,5570,5360,5550,413600,1387.5
40,2016-03-02,5610,5980,5610,5930,692700,1482.5
41,2016-03-03,5890,6020,5840,5960,469100,1490
42,2016-03-04,5870,5970,5760,5940,252800,1485
43,2016-03-07,5970,5990,5850,5880,216200,1470
44,2016-03-08,5850,5910,5690,5870,297900,1467.5
45,2016-03-09,5820,5970,5780,5830,208300,1457.5
46,2016-03-10,5900,5980,5850,5950,212200,1487.5
47,2016-03-11,5860,5980,5820,5950,207400,1487.5
48,2016-03-14,5970,6050,5890,6010,232400,1502.5
49,2016-03-15,6030,6170,5990,6070,295500,1517.5
50,2016-03-16,6030,6120,6000,6030,157000,1507.5
51,2016-03-17,6090,6120,5950,5980,211400,1495
52,2016-03-18,5940,5990,5850,5900,546300,1475
53,2016-03-22,6030,6290,6000,6180,328600,1545
54,2016-03-23,6200,6220,6090,6190,163500,1547.5
55,2016-03-24,6190,6370,6160,6350,331800,1587.5
56,2016-03-25,6370,6380,6220,6260,243600,1565
57,2016-03-28,6300,6340,6250,6330,198600,1582.5
58,2016-03-29,6350,6420,6310,6400,168900,1600
59,2016-03-30,6450,6600,6440,6550,311700,1637.5
60,2016-03-31,6550,6670,6430,6550,440300,1637.5
61,2016-04-01,6630,6700,6290,6340,405000,1585
62,2016-04-04,6310,6480,6230,6380,313000,1595
63,2016-04-05,6180,6280,6060,6110,396000,1527.5
64,2016-04-06,6030,6360,5980,6360,393100,1590
65,2016-04-07,6370,6510,6250,6460,333700,1615
66,2016-04-08,6380,6630,6330,6580,358900,1645
67,2016-04-11,6580,6630,6460,6610,218200,1652.5
68,2016-04-12,6600,6620,6520,6590,151900,1647.5
69,2016-04-13,6650,6750,6600,6710,375500,1677.5
70,2016-04-14,6800,6840,6650,6740,282800,1685
71,2016-04-15,6610,6690,6550,6620,274800,1655
72,2016-04-18,6360,6550,6340,6510,232300,1627.5
73,2016-04-19,6450,6600,6430,6540,244200,1635
74,2016-04-20,6580,6630,6460,6520,210700,1630
75,2016-04-21,6640,6650,6560,6640,178700,1660
76,2016-04-22,6600,6720,6550,6680,256500,1670
77,2016-04-25,6660,6660,6550,6580,184400,1645
78,2016-04-26,6480,6480,6310,6430,233700,1607.5
79,2016-04-27,6400,6520,6400,6440,159300,1610
80,2016-04-28,6480,6530,6340,6340,278600,1585
81,2016-05-02,6380,6400,6180,6320,290100,1580
82,2016-05-06,6390,6460,6270,6350,284700,1587.5
83,2016-05-09,6360,6490,6300,6450,194800,1612.5
84,2016-05-10,6500,6630,6480,6610,284100,1652.5
85,2016-05-11,6690,6710,6570,6680,230100,1670
86,2016-05-12,6660,6670,6520,6590,232400,1647.5
87,2016-05-13,6640,6770,6610,6750,235800,1687.5
88,2016-05-16,6720,6780,6560,6560,216100,1640
89,2016-05-17,6590,6650,6550,6610,149100,1652.5
90,2016-05-18,6590,6610,6440,6520,168900,1630
91,2016-05-19,6580,6730,6550,6720,240400,1680
92,2016-05-20,6660,6780,6630,6770,153100,1692.5
93,2016-05-23,6800,6880,6700,6720,134700,1680
94,2016-05-24,6730,6770,6680,6700,112000,1675
95,2016-05-25,6760,6840,6730,6750,123100,1687.5
96,2016-05-26,6800,6800,6640,6670,122700,1667.5
97,2016-05-27,6650,6710,6600,6670,92600,1667.5
98,2016-05-30,6770,6770,6680,6700,114600,1675
99,2016-05-31,6700,6760,6600,6760,148600,1690
100,2016-06-01,6750,6770,6680,6730,119700,1682.5
101,2016-06-02,6650,6740,6610,6630,144600,1657.5
102,2016-06-03,6680,6880,6680,6870,217900,1717.5
103,2016-06-06,6750,6990,6750,6980,252800,1745
104,2016-06-07,6990,7130,6990,7030,330700,1757.5
105,2016-06-08,7070,7080,6880,7000,197800,1750
106,2016-06-09,7000,7020,6950,6980,115600,1745
107,2016-06-10,6970,7020,6940,7020,182300,1755
108,2016-06-13,6890,6970,6810,6840,228700,1710
109,2016-06-14,6740,6750,6420,6580,495700,1645
110,2016-06-15,6480,6610,6450,6580,346000,1645
111,2016-06-16,6520,6670,6440,6480,252800,1620
